label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss,modularity_class,color,in_degree,out_degree,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank_centrality
Portugal,300,38,635.0,280.0,215,82,0.7166666666666667,0.2733333333333333,5,tab:brown,61,34,95,0.5163043478260869,0.006676729862807083,0.5841269841269842,0.18867784208288654,0.0135062297084319
United Arab Emirates,297,39,479.0,404.0,160,137,0.5387205387205387,0.4612794612794613,0,tab:blue,37,33,70,0.3804347826086956,0.006329206417437497,0.5,0.025458544565821712,0.0061431320052538875
Iran,296,40,723.0,206.0,232,64,0.7837837837837838,0.2162162162162162,0,tab:blue,42,35,77,0.4184782608695652,0.009091829823859558,0.5395894428152492,0.03594416816930452,0.009307809354774906
Russia,295,41,619.0,252.0,213,82,0.7220338983050848,0.2779661016949152,5,tab:brown,64,39,103,0.5597826086956521,0.008196525940019085,0.6013071895424836,0.16761141637000215,0.011763558808720171
Belgium,291,42,608.0,329.0,192,96,0.6597938144329897,0.3298969072164948,5,tab:brown,59,34,93,0.5054347826086957,0.010971289103437287,0.5822784810126582,0.17856709094896125,0.011557561956205636
Romania,289,43,564.0,334.0,184,102,0.6366782006920415,0.3529411764705882,5,tab:brown,53,38,91,0.4945652173913043,0.011264233676522316,0.5096952908587258,0.1602981673338936,0.00959726921771041
Uganda,288,44,457.0,326.0,169,119,0.5868055555555556,0.4131944444444444,6,tab:pink,31,33,64,0.34782608695652173,0.0018816962142615427,0.43601895734597157,0.022281718052480512,0.0052207921511085225
Trinidad and Tobago,287,45,558.0,407.0,161,126,0.5609756097560976,0.4390243902439024,4,tab:purple,26,26,52,0.2826086956521739,0.01811316382477241,0.4289044289044289,0.010436929204784272,0.004989362105781428
Kenya,285,46,363.0,370.0,140,145,0.4912280701754385,0.5087719298245614,6,tab:pink,36,38,74,0.40217391304347827,0.008725771063641238,0.4444444444444444,0.022092766769173683,0.004161873006810333
Austria,284,47,537.0,408.0,159,122,0.5598591549295775,0.4295774647887324,5,tab:brown,49,38,87,0.47282608695652173,0.004629179416439851,0.5427728613569321,0.14790657229388623,0.008886062036966031
