label,count,id,goals_for,goals_against,wins,losses,per_win,per_loss
Vanuatu,131,161,309.0,291.0,52,79,0.3969465648854962,0.6030534351145038
Mauritania,131,162,106.0,274.0,30,101,0.22900763358778625,0.7709923664122137
Guadeloupe,131,163,264.0,168.0,73,58,0.5572519083969466,0.44274809160305345
Botswana,131,164,113.0,213.0,42,89,0.32061068702290074,0.6793893129770993
Azerbaijan,130,165,78.0,301.0,22,108,0.16923076923076924,0.8307692307692308
Nicaragua,128,166,150.0,366.0,34,94,0.265625,0.734375
Burundi,123,167,143.0,179.0,50,73,0.4065040650406504,0.5934959349593496
Barbados,123,168,160.0,221.0,49,74,0.3983739837398374,0.6016260162601627
Saint Kitts and Nevis,122,169,245.0,215.0,60,62,0.4918032786885246,0.5081967213114754
Dominica,121,170,156.0,298.0,34,87,0.2809917355371901,0.71900826446281
Niger,117,171,110.0,224.0,34,83,0.2905982905982906,0.7094017094017094
Palestine,117,172,208.0,199.0,47,70,0.4017094017094017,0.5982905982905983
Guyana,113,173,191.0,227.0,49,64,0.4336283185840708,0.5663716814159292
Lesotho,112,174,93.0,223.0,32,80,0.2857142857142857,0.7142857142857143
Seychelles,112,175,86.0,290.0,17,95,0.15178571428571427,0.8482142857142857
Gambia,110,176,116.0,168.0,41,69,0.37272727272727274,0.6272727272727273
Guinea-Bissau,105,177,110.0,178.0,37,68,0.3523809523809524,0.6476190476190476
Alderney,104,178,52.0,515.0,3,101,0.028846153846153848,0.9711538461538461
Gibraltar,104,179,133.0,309.0,28,76,0.2692307692307692,0.7307692307692307
Brunei,102,180,75.0,364.0,15,87,0.14705882352941177,0.8529411764705882
Papua New Guinea,101,181,278.0,217.0,46,55,0.45544554455445546,0.5445544554455446
Eswatini,101,182,88.0,193.0,31,70,0.3069306930693069,0.693069306930693
Kyrgyzstan,100,183,138.0,163.0,43,57,0.43,0.57
Equatorial Guinea,100,184,89.0,156.0,38,62,0.38,0.62
